,clickstream_userid,S0,S1,S2,S3,Model Score S0,Model Score S1,Model Score S2,Model Score S3
54d0c4358dc596ad991dae000a7ecfdb,54d0c4358dc596ad991dae000a7ecfdb,0,0,1,0,0.06,0.06,0.78,0.18
fa2f744ec2d7e4c6eaa5414ece87238e,fa2f744ec2d7e4c6eaa5414ece87238e,1,0,0,0,0.72,0.02,0.18,0.14
640f41bcd0f031f1b09d02ff0ff65910,640f41bcd0f031f1b09d02ff0ff65910,0,0,1,0,0.3,0.18,0.82,0.04
2fba894e6184af8843a26d1c8f4d81c8,2fba894e6184af8843a26d1c8f4d81c8,1,0,0,0,0.8,0.02,0.36,0.04
03f6c343f51a23becabc375084459fc4,03f6c343f51a23becabc375084459fc4,1,0,0,0,0.8,0.08,0.14,0.06
8b4b18ad7f548b7b8f57a2a7451ed400,8b4b18ad7f548b7b8f57a2a7451ed400,0,0,1,0,0.2,0.06,0.82,0.06
6cbc7bd51c72068d6554563825f2e435,6cbc7bd51c72068d6554563825f2e435,0,0,1,0,0.56,0.1,0.86,0.02
512ac72fa92547ef7f31f00dfbb89561,512ac72fa92547ef7f31f00dfbb89561,1,0,0,0,0.78,0.08,0.2,0.06
ca1c3ab39e70e8a5755fbda2ffbf3862,ca1c3ab39e70e8a5755fbda2ffbf3862,0,0,1,0,0.42,0.1,0.72,0.04
2806a4234f832f2b2fcf1ae6121b140f,2806a4234f832f2b2fcf1ae6121b140f,1,0,0,0,0.76,0.0,0.14,0.06
52135b546af2958a6b00cd4e98e4f984,52135b546af2958a6b00cd4e98e4f984,0,0,1,0,0.1,0.06,0.8,0.04
e24cc76c6abfbef26670ca802019f15c,e24cc76c6abfbef26670ca802019f15c,1,0,0,0,0.8,0.04,0.2,0.02
3b9dc194be4d54b4d1ddb9f899ff1283,3b9dc194be4d54b4d1ddb9f899ff1283,1,0,0,0,0.8,0.08,0.02,0.02
d292714edc4c8e7bd8b9a5337b84b493,d292714edc4c8e7bd8b9a5337b84b493,1,0,0,0,0.78,0.0,0.16,0.06
6c845fe545edcdd0c13516c353a8859c,6c845fe545edcdd0c13516c353a8859c,0,0,1,0,0.1,0.0,0.8,0.02
bdb56e9bd614dd734bab54be98b554fa,bdb56e9bd614dd734bab54be98b554fa,0,0,1,0,0.08,0.04,0.76,0.04
8b05bba4a4edead24e6a3f64dc64ba26,8b05bba4a4edead24e6a3f64dc64ba26,0,0,1,0,0.12,0.08,0.72,0.08
2ae36fe42ee42e9077624991eabbc0dd,2ae36fe42ee42e9077624991eabbc0dd,1,0,0,0,0.8,0.02,0.34,0.06
c67ae7fdbc03fed3058b9a13abeb114f,c67ae7fdbc03fed3058b9a13abeb114f,0,0,0,1,0.1,0.1,0.08,0.16
c0a0b7a8dbe93098adff5acca45204ba,c0a0b7a8dbe93098adff5acca45204ba,0,0,1,0,0.08,0.1,0.8,0.04
26c596f6cd6b12a070e9d74d687b0e06,26c596f6cd6b12a070e9d74d687b0e06,0,0,1,0,0.1,0.04,0.68,0.04
1431ba492d8331972ec4bc95a8c1f531,1431ba492d8331972ec4bc95a8c1f531,1,0,0,0,0.48,0.04,0.12,0.18
c7697ac6a9e94a70d343f70f29575a94,c7697ac6a9e94a70d343f70f29575a94,0,0,1,0,0.18,0.02,0.86,0.06
22cdcb958615492d49c907b3a5bfe335,22cdcb958615492d49c907b3a5bfe335,0,0,0,1,0.18,0.02,0.12,0.58
7f8d50c68ae3fae0c4ab7d6c42bd8154,7f8d50c68ae3fae0c4ab7d6c42bd8154,1,0,0,0,0.38,0.02,0.14,0.0
3d42ce5e8bee35d47c60129f03eee78a,3d42ce5e8bee35d47c60129f03eee78a,0,0,1,0,0.12,0.04,0.9,0.04
54135f76861998e8a2b03b7daedb6f73,54135f76861998e8a2b03b7daedb6f73,1,0,0,0,0.84,0.04,0.48,0.02
3109a28803a7ced3bef794044b55fc18,3109a28803a7ced3bef794044b55fc18,0,0,0,1,0.08,0.04,0.16,0.76
f89cccfab7cf5ec2ad02676d20109308,f89cccfab7cf5ec2ad02676d20109308,0,0,0,1,0.12,0.24,0.1,0.68
b2d9cf63fd020efe7a3c2ad7a53c6a80,b2d9cf63fd020efe7a3c2ad7a53c6a80,0,0,1,0,0.1,0.04,0.74,0.0
20e165a6ed7d0f3126c6a35f844381cb,20e165a6ed7d0f3126c6a35f844381cb,0,0,1,0,0.14,0.1,0.82,0.14
253a17a1769ff285bffce0eab9b7e67d,253a17a1769ff285bffce0eab9b7e67d,0,0,1,0,0.1,0.04,0.5,0.04
72b8129e8e227a4c6f44f31403d86e8d,72b8129e8e227a4c6f44f31403d86e8d,0,0,1,0,0.14,0.16,0.74,0.06
2568cd924fbe0b6b8f7240ca48517d44,2568cd924fbe0b6b8f7240ca48517d44,1,0,0,0,0.74,0.02,0.12,0.1
5857f86d94a2c5a780d2f084c09fd7f6,5857f86d94a2c5a780d2f084c09fd7f6,0,0,0,1,0.22,0.0,0.16,0.12
05d8b6675d13fe79f767f0ef59dc2add,05d8b6675d13fe79f767f0ef59dc2add,1,0,0,0,0.74,0.06,0.08,0.0
ee96b83578f3aedd5d5b1ff795af2723,ee96b83578f3aedd5d5b1ff795af2723,0,0,1,0,0.16,0.1,0.82,0.02
ea5a29fe1cc115ebbff6efe3f2e64d4c,ea5a29fe1cc115ebbff6efe3f2e64d4c,0,0,1,0,0.14,0.08,0.78,0.0
b3fb336f3746b75f22dc74639d2a3e6c,b3fb336f3746b75f22dc74639d2a3e6c,0,0,1,0,0.12,0.08,0.7,0.02
3aeb9a38929cbc96a04bc0c03eed583e,3aeb9a38929cbc96a04bc0c03eed583e,1,0,0,0,0.8,0.14,0.12,0.04
fc0ca5982e55ef2d976a3d8ac047c069,fc0ca5982e55ef2d976a3d8ac047c069,1,0,0,0,0.78,0.06,0.18,0.02
5c7a1febfe75c939c4d8b813ed868deb,5c7a1febfe75c939c4d8b813ed868deb,1,0,0,0,0.74,0.02,0.18,0.14
76cecb53e829b2cb27f0476a78d018a7,76cecb53e829b2cb27f0476a78d018a7,0,0,0,1,0.06,0.0,0.12,0.68
07e8b89dce587b0f103a6dc0d70d9d44,07e8b89dce587b0f103a6dc0d70d9d44,0,0,1,0,0.06,0.08,0.78,0.0
78634edf78d04ffe45397478b4123e19,78634edf78d04ffe45397478b4123e19,1,0,0,0,0.76,0.04,0.08,0.0
bd90caa5ba9028c687ef4d7632654a16,bd90caa5ba9028c687ef4d7632654a16,0,0,1,0,0.14,0.1,0.66,0.0
5ffd4dbf5c6aaa7954759d051d80f0c7,5ffd4dbf5c6aaa7954759d051d80f0c7,1,0,0,0,0.84,0.06,0.14,0.1
92e8a4bd46dfafb379366feaee974421,92e8a4bd46dfafb379366feaee974421,1,0,0,0,0.36,0.04,0.2,0.02
560f7f37bf843ac2066cfc6ff5bcc5fc,560f7f37bf843ac2066cfc6ff5bcc5fc,0,0,1,0,0.22,0.04,0.88,0.08
bf460a0c80fd6b4fae8891e795e333c3,bf460a0c80fd6b4fae8891e795e333c3,0,0,1,0,0.18,0.02,0.72,0.0
af8d957a82886296571e79c438b2a348,af8d957a82886296571e79c438b2a348,0,0,1,0,0.12,0.06,0.76,0.08
c0ca8c23c4f31398d4189b6ad1d6d541,c0ca8c23c4f31398d4189b6ad1d6d541,0,0,1,0,0.1,0.12,0.78,0.08
1ee95f06fac7e60ac8dcb4eb5259ab37,1ee95f06fac7e60ac8dcb4eb5259ab37,1,0,0,0,0.8,0.18,0.2,0.06
9d61dd2739e611cf9143c37c73e30b5f,9d61dd2739e611cf9143c37c73e30b5f,0,0,1,0,0.16,0.12,0.74,0.0
e779c7831ed93cf0a0380e05073320ec,e779c7831ed93cf0a0380e05073320ec,1,0,0,0,0.76,0.04,0.1,0.06
86fae3b34ba1c709dba6246748136eb1,86fae3b34ba1c709dba6246748136eb1,1,0,0,0,0.76,0.1,0.14,0.22
b20826e6ae91f083e8be6973cd74835b,b20826e6ae91f083e8be6973cd74835b,1,0,0,0,0.82,0.16,0.06,0.02
327983ddbf934b8a288c829086bf1cfe,327983ddbf934b8a288c829086bf1cfe,0,1,0,0,0.14,0.72,0.04,0.14
ffb6c562ee6f01e61a3bf903ef049dff,ffb6c562ee6f01e61a3bf903ef049dff,1,0,0,0,0.86,0.08,0.22,0.04
218edb65b423d8c61acd396cc7cdacb1,218edb65b423d8c61acd396cc7cdacb1,1,0,0,0,0.82,0.02,0.16,0.06
cad433220b990bc6fdacfa4d16d097ed,cad433220b990bc6fdacfa4d16d097ed,0,0,1,0,0.18,0.06,0.68,0.12
c32318e6537718ac8e97699f4376c705,c32318e6537718ac8e97699f4376c705,0,0,1,0,0.08,0.04,0.68,0.08
f3b2ecccbde6acf53a7796097be5d672,f3b2ecccbde6acf53a7796097be5d672,0,1,0,0,0.16,0.72,0.2,0.02
6aa63aeef3cd8afcf16e73b609f0a7a3,6aa63aeef3cd8afcf16e73b609f0a7a3,0,0,1,0,0.12,0.14,0.44,0.04
d53c8577f6c283d5de2be9af4ebe8d47,d53c8577f6c283d5de2be9af4ebe8d47,0,0,0,1,0.1,0.06,0.2,0.12
bd5eb50663b2988e0c51bbc605bf0358,bd5eb50663b2988e0c51bbc605bf0358,0,0,1,0,0.2,0.08,0.78,0.08
adbf4bae26c817475f36e534a89cdee7,adbf4bae26c817475f36e534a89cdee7,0,0,1,0,0.04,0.08,0.22,0.02
3601116c99ce205c3613077a67fc6a24,3601116c99ce205c3613077a67fc6a24,0,0,1,0,0.18,0.02,0.82,0.06
12f7f66dd4ce136af9b111c93055519f,12f7f66dd4ce136af9b111c93055519f,0,1,0,0,0.38,0.78,0.1,0.06
079022635dd6aad723ece824071e1358,079022635dd6aad723ece824071e1358,0,0,1,0,0.3,0.0,0.86,0.02
89f15d3abdbbd7378f3362929a6880ff,89f15d3abdbbd7378f3362929a6880ff,1,0,0,0,0.5016666666666666,0.0,0.26,0.02
af7361681bd7456099d436308c9e2b18,af7361681bd7456099d436308c9e2b18,1,0,0,0,0.7,0.04,0.22,0.04
3a077d82b27ba314e705bfbdf98a288e,3a077d82b27ba314e705bfbdf98a288e,0,0,1,0,0.22,0.08,0.84,0.04
841c422242ba88e4668c2c07584748c3,841c422242ba88e4668c2c07584748c3,1,0,0,0,0.34,0.02,0.24,0.06
cac26c787990cf24b7c87f2a1a8e7545,cac26c787990cf24b7c87f2a1a8e7545,0,0,1,0,0.08,0.04,0.68,0.06
79c0a29750f9043dff9c8b3bd98f3848,79c0a29750f9043dff9c8b3bd98f3848,1,0,0,0,0.82,0.0,0.12,0.08
ea9ec6a9818d2a7478abe41bbcb062b2,ea9ec6a9818d2a7478abe41bbcb062b2,1,0,0,0,0.76,0.08,0.12,0.08
779c593929809158c2fb080d85cb7a71,779c593929809158c2fb080d85cb7a71,0,0,1,0,0.12,0.0,0.7,0.04
ec0e16dc78f5dfbf6db0ee8442e10553,ec0e16dc78f5dfbf6db0ee8442e10553,1,0,0,0,0.84,0.02,0.12,0.1
bd4333e3d98a92ec217560921087f83a,bd4333e3d98a92ec217560921087f83a,0,0,1,0,0.1,0.12,0.86,0.1
e645adf40f3583d5a494c4b662e912e7,e645adf40f3583d5a494c4b662e912e7,0,0,1,0,0.1,0.06,0.82,0.0
2c5b7205630251797ee05d28e81aed6c,2c5b7205630251797ee05d28e81aed6c,0,0,1,0,0.16,0.0,0.38,0.02
d61333681e3578553c431e06ec253def,d61333681e3578553c431e06ec253def,0,1,0,0,0.06,0.74,0.28,0.06
6217ef973302fdb2182022be0b9a50f7,6217ef973302fdb2182022be0b9a50f7,0,0,0,1,0.18,0.02,0.18,0.82
596b8da190aa7764c88c79e92a03ee5e,596b8da190aa7764c88c79e92a03ee5e,0,0,0,1,0.12,0.06,0.1,0.54
27dec11fbb93cbcfdee03d48f5206b8d,27dec11fbb93cbcfdee03d48f5206b8d,0,0,1,0,0.46,0.02,0.84,0.0
4ec6d76649d31ab845be4ef2407e2f89,4ec6d76649d31ab845be4ef2407e2f89,1,0,0,0,0.44,0.0,0.2,0.06
aeb5be0ff86c2b0cccbcf68a4de8fc27,aeb5be0ff86c2b0cccbcf68a4de8fc27,0,0,0,1,0.14,0.04,0.12,0.72
8555292a60eb437c85d1d6ae132ed80a,8555292a60eb437c85d1d6ae132ed80a,1,0,0,0,0.86,0.12,0.16,0.06
4e31399acdb405f91195dcf77d5d689e,4e31399acdb405f91195dcf77d5d689e,1,0,0,0,0.74,0.08,0.14,0.04
ab8c79d74eadecb0935e0eb6f8c6607d,ab8c79d74eadecb0935e0eb6f8c6607d,1,0,0,0,0.72,0.0,0.5,0.04
b41a4bd57eea68e0f7ebe5c0c7f178da,b41a4bd57eea68e0f7ebe5c0c7f178da,0,0,0,1,0.08,0.0,0.2,0.68
890bf8b060025bcb347a7b7cbf3316ee,890bf8b060025bcb347a7b7cbf3316ee,0,0,0,1,0.08,0.04,0.14,0.12
ae91d79d0ff5e4648cffb44351260215,ae91d79d0ff5e4648cffb44351260215,0,0,1,0,0.14,0.08,0.86,0.08
9c66f2173d7726564c8c6c042bb0a86a,9c66f2173d7726564c8c6c042bb0a86a,0,0,0,1,0.12,0.06,0.08,0.12
ae60f843bd63f74f2826d6aaedc4094e,ae60f843bd63f74f2826d6aaedc4094e,0,0,1,0,0.1,0.06,0.74,0.02
175bc61ff984f861846707494177d89a,175bc61ff984f861846707494177d89a,0,0,1,0,0.24,0.02,0.78,0.02
09c030649404125b00b1dfbd80174caf,09c030649404125b00b1dfbd80174caf,0,0,1,0,0.12,0.04,0.32,0.06
7eaad0923c85181caf1b8cecea6415a9,7eaad0923c85181caf1b8cecea6415a9,0,0,0,1,0.14,0.06,0.06,0.56
dfff985ae85a54748a633bd1ba12b1a5,dfff985ae85a54748a633bd1ba12b1a5,1,0,0,0,0.72,0.02,0.08,0.1
a0ecf425405555902984b0b08584481e,a0ecf425405555902984b0b08584481e,1,0,0,0,0.76,0.0,0.16,0.04
2c743660b96da26d6391a4d5fbb119db,2c743660b96da26d6391a4d5fbb119db,0,0,0,1,0.1,0.02,0.18,0.64
defcb4090886c5b2d53b4dc6a4009af5,defcb4090886c5b2d53b4dc6a4009af5,1,0,0,0,0.86,0.04,0.1,0.06
943464a7b0634ca3dc4bd050991f16cb,943464a7b0634ca3dc4bd050991f16cb,1,0,0,0,0.72,0.02,0.34,0.02
f22ae1f15ae00099adc506487e439a6d,f22ae1f15ae00099adc506487e439a6d,1,0,0,0,0.7,0.1,0.14,0.0
a6f3c4fedb33878065c890a86d4930f1,a6f3c4fedb33878065c890a86d4930f1,0,0,1,0,0.18,0.02,0.68,0.02
fb9f71cd64b3307649c2e189b4d51a06,fb9f71cd64b3307649c2e189b4d51a06,0,0,1,0,0.12,0.02,0.82,0.02
7228d72ce0e91d94c4b782ce7f2759b7,7228d72ce0e91d94c4b782ce7f2759b7,1,0,0,0,0.72,0.02,0.06,0.0
df8c50ec84aaf0d2f6fb545be5e95f85,df8c50ec84aaf0d2f6fb545be5e95f85,0,0,1,0,0.16,0.0,0.26,0.0
49383192993579bf5042103ee6ce6b61,49383192993579bf5042103ee6ce6b61,0,0,1,0,0.2,0.08,0.86,0.06
96409c26643cd7840979d8f942e94ff8,96409c26643cd7840979d8f942e94ff8,0,0,1,0,0.14,0.02,0.5,0.04
2b054fcf61ad0ac2bf424111d40bb35b,2b054fcf61ad0ac2bf424111d40bb35b,0,0,0,1,0.14,0.02,0.26,0.08
c55a8e9bc7c5c44d006a069fa880d5a4,c55a8e9bc7c5c44d006a069fa880d5a4,0,0,0,1,0.14,0.04,0.12,0.76
3253cc7f0cbd1864d82d905366825a3e,3253cc7f0cbd1864d82d905366825a3e,1,0,0,0,0.8,0.02,0.06,0.04
66825ac0613e4b014a34be2354d0a33d,66825ac0613e4b014a34be2354d0a33d,1,0,0,0,0.62,0.0,0.28,0.04333333333333333
182919db3801b39b12eb0d5375a63c1a,182919db3801b39b12eb0d5375a63c1a,0,0,1,0,0.14,0.04,0.76,0.06
2aaf719634251f7aad225ae3257c2aca,2aaf719634251f7aad225ae3257c2aca,0,0,0,1,0.48,0.04,0.12,0.64
67b7a2daeb1717fbae100c27cfbf5c3f,67b7a2daeb1717fbae100c27cfbf5c3f,1,0,0,0,0.74,0.06,0.12,0.1
3172e164aaac8f59fac3e4867ec7af05,3172e164aaac8f59fac3e4867ec7af05,1,0,0,0,0.86,0.08,0.12,0.04
64c86568160bd154e85a03ed6632d24b,64c86568160bd154e85a03ed6632d24b,1,0,0,0,0.76,0.04,0.24,0.02
b329f63d8f7deb605c91a9264cfd1340,b329f63d8f7deb605c91a9264cfd1340,1,0,0,0,0.86,0.08,0.12,0.08
21854779b52e128532591f778ccaa8c9,21854779b52e128532591f778ccaa8c9,1,0,0,0,0.68,0.08,0.14,0.0
5563017bb7ffe4d470649986b01c13e9,5563017bb7ffe4d470649986b01c13e9,0,1,0,0,0.12,0.7,0.28,0.0
97db342f5640e6681aae56cefaca2876,97db342f5640e6681aae56cefaca2876,0,0,1,0,0.4,0.02,0.72,0.08
315452e545ef1abc36bb08eea757e7c8,315452e545ef1abc36bb08eea757e7c8,0,0,0,1,0.08,0.12,0.12,0.62
006d2a49aa721740186382a21fd74f84,006d2a49aa721740186382a21fd74f84,1,0,0,0,0.78,0.04,0.1,0.02
2b46596b393a8d7472646ae7030e0624,2b46596b393a8d7472646ae7030e0624,1,0,0,0,0.8,0.04,0.18,0.1
984a62185be355fe29fa78f7ef9368be,984a62185be355fe29fa78f7ef9368be,1,0,0,0,0.72,0.02,0.18,0.04
747a87d91031a457958d9d7273f1e012,747a87d91031a457958d9d7273f1e012,1,0,0,0,0.76,0.02,0.02,0.02
7f606968590bc6b20264984e84670669,7f606968590bc6b20264984e84670669,0,0,1,0,0.5,0.02,0.74,0.0
cce7e2ec5195cb8a8f1ed7a40f2dc9fe,cce7e2ec5195cb8a8f1ed7a40f2dc9fe,0,0,1,0,0.14,0.08,0.82,0.02
6033dc9f873bbbd0888f42924ddb7908,6033dc9f873bbbd0888f42924ddb7908,1,0,0,0,0.66,0.04,0.2,0.1
5e1b39219877c3ec22bd15c3a0796d1e,5e1b39219877c3ec22bd15c3a0796d1e,0,0,1,0,0.08,0.04,0.82,0.02
485e1228cc96d947e86b0c90a134e5fd,485e1228cc96d947e86b0c90a134e5fd,1,0,0,0,0.7,0.18,0.1,0.04
8686ccc6c3308559fbcdf70977f07896,8686ccc6c3308559fbcdf70977f07896,1,0,0,0,0.72,0.02,0.26,0.04
b6a49b4d075b73b16334ce32283a641a,b6a49b4d075b73b16334ce32283a641a,0,0,1,0,0.2,0.1,0.86,0.1
8e090aa9cf75891de9b12e50f683c8ed,8e090aa9cf75891de9b12e50f683c8ed,0,0,1,0,0.1,0.02,0.76,0.12
f6893686bba1f8779a177f9fb06b0ab8,f6893686bba1f8779a177f9fb06b0ab8,1,0,0,0,0.84,0.06,0.48,0.02
cd7e3a17051d09639805b401389fa067,cd7e3a17051d09639805b401389fa067,0,0,1,0,0.2,0.02,0.76,0.02
b26a2f43ee8efa665dd51e956d2228d7,b26a2f43ee8efa665dd51e956d2228d7,0,1,0,0,0.06,0.1,0.12,0.06
6a020fefe570a280b58b935b3d7b1537,6a020fefe570a280b58b935b3d7b1537,0,0,1,0,0.18,0.02,0.82,0.02
d9781b7ab914db3720adbec1eda9f551,d9781b7ab914db3720adbec1eda9f551,0,1,0,0,0.06,0.68,0.14,0.0
1fc6459aed480b22c77de5afc21c848c,1fc6459aed480b22c77de5afc21c848c,1,0,0,0,0.62,0.1,0.1,0.02
